図書館名,開館日数[日],登録者数[人],貸出冊数合計[冊],図書貸出冊数[冊],雑誌貸出冊数[冊],AV貸出冊数[冊],1日平均貸出冊数[冊],年間貸出人数[人],1日平均貸出人数[人],予約件数(リクエスト含む)[件]
豊栄,289,10387,254273,224297,21439,8537,879,68949,238,28406
松浜,281,3536,108303,96308,11995,0,385,29154,103,14931
山の下,289,3266,137540,123100,14440,0,475,38677,133,18045
石山,280,4809,141124,126104,15020,0,504,43675,155,37971
中央,328,47203,1257356,1084091,79969,93296,3833,334437,1019,138368
舟江,275,1519,63290,57811,5479,0,230,20141,73,10220
鳥屋野,276,6101,241117,216683,24434,0,873,68493,248,58988
生涯セ,291,7136,222765,195931,18851,7983,765,79203,272,59543
亀田,289,7956,335750,284798,29168,21784,1161,86918,300,46113
新津,255,8898,258048,229499,17243,11306,1011,69543,272,34813
白根,289,6766,164053,144730,15840,3483,567,43213,149,17571
月潟,281,1053,27494,23118,3646,730,97,8473,30,5145
坂井輪,180,8547,251116,218723,23778,8615,1395,70103,389,50080
内野,279,4135,172311,156283,16028,0,617,49911,178,39292
黒埼,279,4493,196907,175057,21850,0,705,47970,171,28592
西川,289,5660,193377,171616,15151,6610,669,48211,166,18456
岩室,279,2051,43720,36712,5627,1381,156,12837,46,6016
潟東,279,1106,22718,18126,2361,2231,81,7224,25,4064
巻,281,4289,124269,109150,11127,3992,442,35126,125,17069
合計,5289,138911,4215531,3692137,353446,169948,14845,1162258,4092,633683
